,_id,name,category,description,latitude,longitude,founded_year,total_money_raised,raised_amount,currency,address,zip_code,city
0,52cdef7c4bab8bd675297d90,Postini,web,,37.506885,-122.247573,1999.0,$0,0.0,0,"959 Skyway Road, Suite 200",94070,San Carlos
2,52cdef7c4bab8bd675297d8d,Digg,news,user driven social content website,37.764726,-122.394523,2004.0,$45M,45000000.0,USD,135 Mississippi St,94107,San Francisco
3,52cdef7c4bab8bd675297d91,Geni,web,Geneology social network site,34.090368,-118.393064,2006.0,$16.5M,16500000.0,USD,9229 W. Sunset Blvd.,90069,West Hollywood
4,52cdef7c4bab8bd675297d95,StumbleUpon,web,Content discovery service,37.775196,-122.419204,2002.0,$18.5M,18500000.0,USD,,,San Francisco
5,52cdef7c4bab8bd675297d95,StumbleUpon,web,Content discovery service,,,2002.0,$18.5M,18500000.0,USD,,,New York City
6,52cdef7c4bab8bd675297d93,Fox Interactive Media,web,,34.076179,-118.39417,1979.0,$0,0.0,0,407 N Maple Dr,90210,Beverly Hills
7,52cdef7c4bab8bd675297d96,Gizmoz,web,Photo animation,37.48413,-122.169472,2003.0,$18.1M,18100000.0,USD,,,Menlo Park
8,52cdef7c4bab8bd675297d98,Slacker,music,Music Personalization Suite,33.022176,-117.081406,2006.0,$73.1M,73100000.0,USD,16935 W. Bernardo Dr. Suite 101,92127,San Diego
10,52cdef7c4bab8bd675297d97,Scribd,news,Read Unlimited Books,37.789634,-122.404052,2007.0,$25.8M,25762000.0,USD,539 Bryant Street,94107,San Francisco
11,52cdef7c4bab8bd675297d9a,Helio,mobile,Mobile Virtual Network Operator,34.057498,-118.446596,2005.0,$0,0.0,0,10960 Wilshire Blvd.,90024,Los Angeles
12,52cdef7c4bab8bd675297d9c,MeetMoi,social,Mobile Dating,40.757929,-73.985506,2007.0,$5.58M,5575000.0,USD,,,New York City
13,52cdef7c4bab8bd675297d94,Twitter,social,Real time communication platform,37.7768052,-122.4169244,2006.0,$1.16B,1160166511.0,USD,1355 Market St.,94103,San Francisco
14,52cdef7c4bab8bd675297d9e,CBS,news,,37.269175,-119.306607,1986.0,$0,0.0,0,,,
15,52cdef7c4bab8bd675297d8e,Facebook,social,Social network,37.41605,-122.151801,2004.0,$2.43B,2425700000.0,USD,1601 Willow Road,94025,Menlo Park
16,52cdef7c4bab8bd675297d8e,Facebook,social,Social network,53.344104,-6.267494,2004.0,$2.43B,2425700000.0,USD,,,Dublin
17,52cdef7c4bab8bd675297d8e,Facebook,social,Social network,40.7557162,-73.9792469,2004.0,$2.43B,2425700000.0,USD,340 Madison Ave,10017,New York
18,52cdef7c4bab8bd675297d9d,Joost,games_video,,40.7464969,-74.0094471,2006.0,$45M,45000000.0,USD,100 5th Ave Fl 6,10011-6903,New York
19,52cdef7c4bab8bd675297d9f,Viacom,web,TV production,40.757725,-73.986011,1971.0,$0,0.0,0,1515 Broadway,10036,New York
20,52cdef7c4bab8bd675297da1,Plaxo,web,Contact Management,37.387845,-122.055197,2002.0,$28.3M,28300000.0,USD,"1050 Enterprise Way, 5th floor",94089,Sunnyvale
21,52cdef7c4bab8bd675297da4,Powerset,search,,37.778613,-122.395289,2006.0,$22.5M,22500000.0,USD,475 Brannan St,94107,San Francisco
22,52cdef7c4bab8bd675297da5,Technorati,advertising,Advertising platform/Publisher network,37.779558,-122.393041,2002.0,$32.1M,32100000.0,USD,360 Post St. Ste. 1100,94108,San Francisco
23,52cdef7c4bab8bd675297d9b,eBay,web,Online Marketplace,37.295005,-121.930035,1995.0,$6.7M,6700000.0,USD,2145 Hamilton Avenue,95125,San Jose
25,52cdef7c4bab8bd675297da7,AddThis,advertising,Content Engagement,38.926172,-77.245195,2004.0,$73M,73000000.0,USD,1595 Spring Hill Road,22182,Vienna
26,52cdef7c4bab8bd675297da7,AddThis,advertising,Content Engagement,40.724604,-73.996876,2004.0,$73M,73000000.0,USD,568 Broadway,10012,New York
27,52cdef7c4bab8bd675297da7,AddThis,advertising,Content Engagement,34.0263021,-118.380954,2004.0,$73M,73000000.0,USD,10555-A Jefferson Blvd.,90232,Culver City
28,52cdef7c4bab8bd675297da7,AddThis,advertising,Content Engagement,,,2004.0,$73M,73000000.0,USD,225 West Washington,60606,Chicago
29,52cdef7c4bab8bd675297da7,AddThis,advertising,Content Engagement,,,2004.0,$73M,73000000.0,USD,505 Montgomery Street,94111,San Francisco
30,52cdef7c4bab8bd675297da7,AddThis,advertising,Content Engagement,42.557958,-83.167884,2004.0,$73M,73000000.0,USD,2605 Crooks Road,48084,Troy
31,52cdef7c4bab8bd675297da9,Mahalo,web,Life long learning content,34.017606,-118.487267,2007.0,$21M,21000000.0,USD,3525 Eastham Dr.,90232,Culver City
32,52cdef7c4bab8bd675297da8,OpenX,advertising,OpenX,34.1494713,-118.1327468,2008.0,$75.5M,75511200.0,USD,888 East Walnut Street,91101,Pasadena
33,52cdef7c4bab8bd675297da8,OpenX,advertising,OpenX,,,2008.0,$75.5M,75511200.0,USD,584 Broadway,10012,New York
34,52cdef7c4bab8bd675297da8,OpenX,advertising,OpenX,,,2008.0,$75.5M,75511200.0,USD,1 Maple Place,W1T 4BB,London
35,52cdef7c4bab8bd675297da8,OpenX,advertising,OpenX,,,2008.0,$75.5M,75511200.0,USD,4-12-25 Minami-Azabu,1060047,Tokyo
36,52cdef7c4bab8bd675297da8,OpenX,advertising,OpenX,,,2008.0,$75.5M,75511200.0,USD,Maximilianstrasse 35a,80539,Munich
37,52cdef7c4bab8bd675297dab,Kyte,games_video,Online & Mobile Video Platform,37.788482,-122.409173,2006.0,$23.4M,23350000.0,USD,442 Post Street,94102,San Francisco
38,52cdef7c4bab8bd675297dac,Veoh,games_video,Internet TV service,32.902266,-117.20834,2004.0,$69.8M,69750000.0,USD,10180 Telesis Court Suite,92121,San Diego
42,52cdef7c4bab8bd675297daf,Jingle Networks,mobile,Voice and Mobile Search,37.480999,-122.173887,2005.0,$88.7M,88651133.0,USD,475 Park Ave South,10016,New York
43,52cdef7c4bab8bd675297db2,Meetup,web,Local community,40.72604,-73.995722,2002.0,$18.3M,18300000.0,USD,632 Broadway,10012,New York
45,52cdef7c4bab8bd675297db5,LifeLock,security,Identity theft protection,33.429859,-111.938739,2005.0,$178M,177850000.0,USD,"60 E. Rio Salado Pkwy, Suite 400",85281,Tempe
46,52cdef7c4bab8bd675297db8,SmugMug,photo_video,Awesome Photo & Video Sharing,37.390056,-122.067692,2002.0,$0,0.0,0,"67 E. Evelyn Ave, Suite 200",94041,Mountain View
47,52cdef7c4bab8bd675297db9,Prosper,finance,p2p lending marketplace,37.78976,-122.402524,2006.0,$120M,119900000.0,USD,101 2nd Street,94105,San Francisco
48,52cdef7c4bab8bd675297dbb,Jajah,mobile,IP Communications Platform,37.4233896,-122.0899512,2005.0,$33M,33000000.0,USD,2513 Charleston Road,94043,Mountain View
49,52cdef7c4bab8bd675297dbc,Skype,software,VoIP Software ,51.518132,-0.131916,2003.0,$76.8M,76805032.0,USD,23-29 Rives de Clausen,L-2165,Luxembourg City
50,52cdef7c4bab8bd675297dbc,Skype,software,VoIP Software ,,,2003.0,$76.8M,76805032.0,USD,3210 Porter Drive,94304,Palo Alto
51,52cdef7c4bab8bd675297dbc,Skype,software,VoIP Software ,,,2003.0,$76.8M,76805032.0,USD,2 Stephen Street,W1T 1AN,London
52,52cdef7c4bab8bd675297dbd,YouTube,games_video,Online video sharing,37.627971,-122.426804,2005.0,$11.5M,11500000.0,USD,901 Cherry Ave,94066,San Bruno
53,52cdef7c4bab8bd675297da2,Cisco,network_hosting,,37.408802,-121.95377,1984.0,$2.5M,2500000.0,USD,170 West Tasman Dr.,95134,San Jose
54,52cdef7c4bab8bd675297dbf,blogTV,games_video,,31.046051,34.851612,2006.0,$3M,3000000.0,USD,30 Ben Gurion St.,52573,Ramat Gan
55,52cdef7c4bab8bd675297da3,Yahoo!,web,News and On-line directory,37.418531,-122.025485,1994.0,$6.8M,6800000.0,USD,701 First Avenue,94089,Sunnyvale
56,52cdef7c4bab8bd675297dc2,AdaptiveBlue,games_video,,40.801358,-74.3372,2007.0,$24M,24020000.0,USD,131 Varick St,10013,NYC
57,52cdef7c4bab8bd675297dc0,Livestream,games_video,Live streaming platform and website,40.726155,-73.995625,2007.0,$14.7M,14699973.0,USD,"111 8th Avenue, #1509",10011,New York
58,52cdef7c4bab8bd675297dc3,Pando Networks,games_video,Accelerating large media delivery,40.722655,-73.99873,2004.0,$11M,11000000.0,USD,520 Broadway,10012,New York
59,52cdef7c4bab8bd675297dc1,Ustream,games_video,Live Social Video Community,37.392936,-122.07948,2007.0,$60.1M,60100000.0,USD,410 Townsend,94107,San Francisco
60,52cdef7c4bab8bd675297dc1,Ustream,games_video,Live Social Video Community,,,2007.0,$60.1M,60100000.0,USD,6725 W Sunset Blvd,90028,Los Angeles
61,52cdef7c4bab8bd675297dc1,Ustream,games_video,Live Social Video Community,,,2007.0,$60.1M,60100000.0,USD,,,Budapest
62,52cdef7c4bab8bd675297dc6,Ikan,web,,41.049051,-73.563878,2003.0,$0,0.0,0,"2001 West Main St., Suite 255",06902,Stamford
63,52cdef7c4bab8bd675297dc5,GrandCentral,mobile,,37.465645,-121.932202,2006.0,$4M,4000000.0,USD,"48389 Fremont Blvd., Suite #110",94538,Fremont
64,52cdef7c4bab8bd675297dc4,Intel,hardware,Microprocessor Developer,37.384949,-121.96761,1968.0,$0,0.0,0,2200 Mission College Blvd,95054,Santa Clara
65,52cdef7c4bab8bd675297dba,Google,search,,37.421972,-122.084143,1998.0,$555M,555182792.0,USD,1600 Amphitheatre Parkway,,Mountain View
66,52cdef7c4bab8bd675297dba,Google,search,,42.280988,-83.748882,1998.0,$555M,555182792.0,USD,112 S. Main St.,48104,Ann Arbor
67,52cdef7c4bab8bd675297dba,Google,search,,33.781466,-84.387519,1998.0,$555M,555182792.0,USD,10 10th Street NE,30309,Atlanta
68,52cdef7c4bab8bd675297dba,Google,search,,30.351416,-97.751382,1998.0,$555M,555182792.0,USD,Plaza 7000,78731,Austin
69,52cdef7c4bab8bd675297dba,Google,search,,40.021416,-105.260931,1998.0,$555M,555182792.0,USD,2590 Pearl Street,80302,Boulder
70,52cdef7c4bab8bd675297dba,Google,search,,42.36305,-71.087478,1998.0,$555M,555182792.0,USD,5 Cambridge Center,02142,Cambridge
71,52cdef7c4bab8bd675297dba,Google,search,,41.889474,-87.628912,1998.0,$555M,555182792.0,USD,20 West Kinzie St.,60610,Chicago
72,52cdef7c4bab8bd675297dba,Google,search,,32.981465,-97.018196,1998.0,$555M,555182792.0,USD,701 Canyon Drive,75019,Coppell
73,52cdef7c4bab8bd675297dba,Google,search,,32.809161,-96.807693,1998.0,$555M,555182792.0,USD,3102 Oak Lawn,75219,Dallas
74,52cdef7c4bab8bd675297dba,Google,search,,39.62919,-104.898419,1998.0,$555M,555182792.0,USD,4600 S. Syracuse St.,80237,Denver
75,52cdef7c4bab8bd675297dba,Google,search,,42.547807,-83.215498,1998.0,$555M,555182792.0,USD,114 Willits Street,48009,Birmingham
76,52cdef7c4bab8bd675297dba,Google,search,,33.658331,-117.861817,1998.0,$555M,555182792.0,USD,19540 Jamboree Road,92612,Irvine
77,52cdef7c4bab8bd675297dba,Google,search,,,,1998.0,$555M,555182792.0,USD,Central Way Plaza,98033,Kirkland
78,52cdef7c4bab8bd675297dba,Google,search,,40.74222,-74.004489,1998.0,$555M,555182792.0,USD,76 Ninth Avenue,10011,New York
79,52cdef7c4bab8bd675297dba,Google,search,,33.411898,-111.926263,1998.0,$555M,555182792.0,USD,1551 S. Rural Road,85281,Tempe
80,52cdef7c4bab8bd675297dba,Google,search,,40.444528,-79.946269,1998.0,$555M,555182792.0,USD,4720 Forbes Avenue,15213,Pittsburgh
81,52cdef7c4bab8bd675297dba,Google,search,,37.789803,-122.389757,1998.0,$555M,555182792.0,USD,345 Spear Street,94105,San Francisco
82,52cdef7c4bab8bd675297dba,Google,search,,34.019282,-118.494288,1998.0,$555M,555182792.0,USD,604 Arizona Avenue,90401,Santa Monica
83,52cdef7c4bab8bd675297dba,Google,search,,47.675326,-122.351397,1998.0,$555M,555182792.0,USD,Evanston Building,98103,Seattle
84,52cdef7c4bab8bd675297dba,Google,search,,47.649701,-122.350592,1998.0,$555M,555182792.0,USD,651 N. 34th St.,98103,Seattle
85,52cdef7c4bab8bd675297dba,Google,search,,38.901113,-77.027101,1998.0,$555M,555182792.0,USD,"1101 New York Avenue, N.W.",20005,Washington
86,52cdef7c4bab8bd675297dba,Google,search,,-37.879234,145.073608,1998.0,$555M,555182792.0,USD,"Rialto South Tower, Level 27",3000,Melbourne
87,52cdef7c4bab8bd675297dba,Google,search,,-34.822723,138.612396,1998.0,$555M,555182792.0,USD,"Levels 11 & 18, Tower 1, Darling Park",2000,Sydney
88,52cdef7c4bab8bd675297dba,Google,search,,,,1998.0,$555M,555182792.0,USD,Tsinghua Science Park Bldg 6,100084,Beijing
89,52cdef7c4bab8bd675297dba,Google,search,,,,1998.0,$555M,555182792.0,USD,"Tower A, 23/F, Center Plaza",510620,Guangzhou
90,52cdef7c4bab8bd675297dba,Google,search,,,,1998.0,$555M,555182792.0,USD,"16F, Raffles City",200001,Shanghai
91,52cdef7c4bab8bd675297dba,Google,search,,,,1998.0,$555M,555182792.0,USD,One IFC - 18/F,,Central
92,52cdef7c4bab8bd675297dba,Google,search,,,,1998.0,$555M,555182792.0,USD,"Prestige Sigma, No. 3, 1st Floor",560 001,Bangalore
93,52cdef7c4bab8bd675297dba,Google,search,,,,1998.0,$555M,555182792.0,USD,"Tower C, Level 9",122002,Gurgaon
94,52cdef7c4bab8bd675297dba,Google,search,,28.86999,77.122261,1998.0,$555M,555182792.0,USD,"No. B1/A6, First Floor",110044,New Delhi
95,52cdef7c4bab8bd675297dba,Google,search,,,,1998.0,$555M,555182792.0,USD,"BLOCK A, Fourth Floor",500 081,Hyderabad
96,52cdef7c4bab8bd675297dba,Google,search,,,,1998.0,$555M,555182792.0,USD,264-265 Vasvani Chambers,400 025,Mumbai
97,52cdef7c4bab8bd675297dba,Google,search,,,,1998.0,$555M,555182792.0,USD,6F Cerulean Tower,150-8512,Tokyo
98,52cdef7c4bab8bd675297dba,Google,search,,,,1998.0,$555M,555182792.0,USD,"9F, Edobori Center Building",550-0002,Osaka
99,52cdef7c4bab8bd675297dba,Google,search,,,,1998.0,$555M,555182792.0,USD,"22nd Floor, Gangnam Finance Center",135 984,Seoul
100,52cdef7c4bab8bd675297dba,Google,search,,,,1998.0,$555M,555182792.0,USD,Level 25 North Tower,048583,Singapore
101,52cdef7c4bab8bd675297dba,Google,search,,,,1998.0,$555M,555182792.0,USD,"Level 73, Taipei 101 Tower",110,Taipei
102,52cdef7c4bab8bd675297dba,Google,search,,56.171882,10.187799,1998.0,$555M,555182792.0,USD,Aabogade 15,,
103,52cdef7c4bab8bd675297dba,Google,search,,,,1998.0,$555M,555182792.0,USD,Larsbjornsstraede 3,,
104,52cdef7c4bab8bd675297dba,Google,search,,,,1998.0,$555M,555182792.0,USD,Luna House,,Helsinki
105,52cdef7c4bab8bd675297dba,Google,search,,48.869606,2.332749,1998.0,$555M,555182792.0,USD,38 avenue de l'OpÃ©ra,75002,Paris
106,52cdef7c4bab8bd675297dba,Google,search,,53.554052,9.985266,1998.0,$555M,555182792.0,USD,ABC-Strasse 19,20354,Hamburg
107,52cdef7c4bab8bd675297dba,Google,search,,53.339914,-6.234424,1998.0,$555M,555182792.0,USD,Gordon House,4,Dublin
108,52cdef7c4bab8bd675297dba,Google,search,,45.46381,9.195978,1998.0,$555M,555182792.0,USD,Corso Europa 2,20122,Milan
109,52cdef7c4bab8bd675297dba,Google,search,,52.337495,4.871464,1998.0,$555M,555182792.0,USD,Claude Debussylaan 34,1082,Amsterdam
110,52cdef7c4bab8bd675297dba,Google,search,,59.915848,10.741047,1998.0,$555M,555182792.0,USD,C.J. Hambros plass 2C,N-0164,Oslo
111,52cdef7c4bab8bd675297dba,Google,search,,63.435324,10.412428,1998.0,$555M,555182792.0,USD,Beddingen 10,7014,Trondheim
112,52cdef7c4bab8bd675297dba,Google,search,,50.063281,19.929806,1998.0,$555M,555182792.0,USD,ul. Krupnicza 16,31-123,KrakÃ³w
113,52cdef7c4bab8bd675297dba,Google,search,,51.116574,17.041942,1998.0,$555M,555182792.0,USD,"Bema Plaza, V pietro",50-265,Wroclaw
114,52cdef7c4bab8bd675297dba,Google,search,,,,1998.0,$555M,555182792.0,USD,7 Balchug st.,115035,Moscow
115,52cdef7c4bab8bd675297dba,Google,search,,,,1998.0,$555M,555182792.0,USD,Nevsky 25,191186,St. Petersburg
116,52cdef7c4bab8bd675297dba,Google,search,,,,1998.0,$555M,555182792.0,USD,Torre Picasso,28020,Madrid
117,52cdef7c4bab8bd675297dba,Google,search,,65.617491,22.126255,1998.0,$555M,555182792.0,USD,Aurorum 2,977 75,LuleÃ¥
118,52cdef7c4bab8bd675297dba,Google,search,,59.332344,18.060162,1998.0,$555M,555182792.0,USD,MÃ¤ster Samuelsgatan 60,111 21,Stockholm
119,52cdef7c4bab8bd675297dba,Google,search,,47.36554,8.524864,1998.0,$555M,555182792.0,USD,Brandschenkestrasse 110,8002,ZÃ¼rich
120,52cdef7c4bab8bd675297dba,Google,search,,,,1998.0,$555M,555182792.0,USD,Belgrave House,SW1W 9TQ,London
121,52cdef7c4bab8bd675297dba,Google,search,,53.473606,-2.250166,1998.0,$555M,555182792.0,USD,Peter House,M1 5AN,Manchester
122,52cdef7c4bab8bd675297dba,Google,search,,45.498588,-73.567044,1998.0,$555M,555182792.0,USD,1000 rue de la Gauchetiere Ouest,H3B4W5,Montreal
123,52cdef7c4bab8bd675297dba,Google,search,,,,1998.0,$555M,555182792.0,USD,"BCE Place, TD Canada Trust Tower",M5J 2S1,Toronto
124,52cdef7c4bab8bd675297dba,Google,search,,43.474704,-80.546381,1998.0,$555M,555182792.0,USD,340 Hagey Blvd,N2L 6R6,Waterloo
125,52cdef7c4bab8bd675297dba,Google,search,,,,1998.0,$555M,555182792.0,USD,"Alicia M. De Justo 350, 2Âº",C1107AAH,Buenos Aires
126,52cdef7c4bab8bd675297dba,Google,search,,-23.590463,-46.681494,1998.0,$555M,555182792.0,USD,Av. Brigadeiro Faria Lima,04538-132,Sao Paulo
127,52cdef7c4bab8bd675297dba,Google,search,,19.507519,-99.030156,1998.0,$555M,555182792.0,USD,Blvd. Manuel Avila Camacho #36,1100,Mexico
128,52cdef7c4bab8bd675297dba,Google,search,,,,1998.0,$555M,555182792.0,USD,"Building 30, MATAM, Advanced Technology Center",31905,Haifa
129,52cdef7c4bab8bd675297dba,Google,search,,,,1998.0,$555M,555182792.0,USD,Levinstein Tower,66183,Tel-Aviv
130,52cdef7c4bab8bd675297dba,Google,search,,,,1998.0,$555M,555182792.0,USD,Kanyon Ofis Binasi Kat. 6,34394,Istanbul
131,52cdef7c4bab8bd675297dba,Google,search,,,,1998.0,$555M,555182792.0,USD,"First Floor, Building No 17",1,Dubai
132,52cdef7c4bab8bd675297dc7,delicious,web,Social Bookmarking,,,2003.0,$0,0.0,,,,San Mateo
133,52cdef7c4bab8bd675297dca,Pownce,web,Microblogging,37.762541,-122.397224,2007.0,$0,0.0,,"1459 18th Street, Suite 142",94107,San Francisco
134,52cdef7c4bab8bd675297dc8,Topix,web,,37.44296,-122.151198,2002.0,$15M,15000000.0,USD,,94301,Palo Alto
135,52cdef7c4bab8bd675297dcd,CriticalMetrics,web,,37.269175,-119.306607,2007.0,$100k,100000.0,USD,,,
136,52cdef7c4bab8bd675297dc9,Jobster,search,job-focused vertical search engine,47.617682,-122.357242,2004.0,$52.5M,52500000.0,USD,3131 Elliott Avenue Suite 600,98121,Seattle
137,52cdef7c4bab8bd675297dce,ZenZui,mobile,,47.620716,-122.347533,2007.0,$0,0.0,0,,,Seattle
138,52cdef7c4bab8bd675297dcf,Spock,search,Search Engine Utilizing Social Media,37.488336,-122.217964,2006.0,$7M,7000000.0,USD,P.O. BOX 150,13457,SCHUYLER LAKE
139,52cdef7c4bab8bd675297dd0,Wize,ecommerce,eCommerce Product Reviews,37.559287,-122.302262,2006.0,$4.99M,4988000.0,USD,1110 Burlingame Ave,94010,Burlingame
140,52cdef7c4bab8bd675297dcb,Revision3,games_video,Web television network,37.757758,-122.388243,2005.0,$9M,9000000.0,USD,2415 3rd St,94107,San Francisco
141,52cdef7c4bab8bd675297dd2,CastTV,games_video,,37.780716,-122.393913,2006.0,$3.1M,3100000.0,USD,374 Brannan St.,94107,San Francisco
142,52cdef7c4bab8bd675297dd3,iSkoot,mobile,Mobile VOIP service,42.375392,-71.118487,2005.0,$32.2M,32200000.0,USD,,,Cambridge
143,52cdef7c4bab8bd675297dd3,iSkoot,mobile,Mobile VOIP service,37.780134,-122.396744,2005.0,$32.2M,32200000.0,USD,501 2nd Street,94107,San Francisco
144,52cdef7c4bab8bd675297dd1,SodaHead,web,Online Community and Discussion,37.269175,-119.306607,2007.0,$12.7M,12650000.0,USD,16161 Ventura Blvd.,91436,Encino
145,52cdef7c4bab8bd675297dd9,Steorn,web,,53.354997,-6.229255,2000.0,$0,0.0,0,East Wall Road,,Dublin
146,52cdef7c4bab8bd675297dd8,Funny Or Die,games_video,comedy video website,37.421621,-122.137444,2007.0,$18M,18000000.0,,167 2nd Ave,94401,San Mateo
148,52cdef7c4bab8bd675297dda,iContact,messaging,email marketing software,,,2003.0,$53.4M,53350000.0,USD,5221 Paramount Parkway,27560,Morrisville
149,52cdef7c4bab8bd675297ddb,MeeVee,games_video,Personalized TV Guide,37.590339,-122.341715,2000.0,$25M,25000000.0,USD,"500 Airport Blvd., Suite 400",94010,Burlingame
150,52cdef7c4bab8bd675297dde,ClipBlast!,web,,34.155211,-118.756618,2005.0,$0,0.0,0,5737 Kanan Rd.,91301,Agoura Hills
151,52cdef7c4bab8bd675297ddc,blinkx,games_video,,37.793819,-122.395089,2004.0,$0,0.0,0,1 Market Street,94105,San Francisco
152,52cdef7c4bab8bd675297ddd,Mashery,enterprise,API and developer services,37.7870842,-122.4038047,2006.0,$34.7M,34700000.0,USD,717 Market Street,94103,San Francisco
153,52cdef7c4bab8bd675297ddd,Mashery,enterprise,API and developer services,,,2006.0,$34.7M,34700000.0,USD,"594 Broadway, Suite 407",10012,New York
154,52cdef7c4bab8bd675297ddd,Mashery,enterprise,API and developer services,,,2006.0,$34.7M,34700000.0,USD,"374 Congress St., SUITE 304",02210,Boston
156,52cdef7c4bab8bd675297de6,Wakoopa,web,Social network for desktop software,52.3745228,4.8948623,2007.0,$1M,1000000.0,USD,"Damrak 70, 254",1012LM,Amsterdam
157,52cdef7c4bab8bd675297de9,Zamzar,web,Free online file conversion,50.9444598,-1.3610845,2006.0,$0,0.0,0,,SO18 1NH,Southampton
158,52cdef7c4bab8bd675297de4,Yapta,travel,Flight Price Tracking Service,47.599925,-122.334264,2007.0,$24.3M,24270000.0,USD,315 1st Avenue S,98104,Seattle
159,52cdef7c4bab8bd675297de4,Yapta,travel,Flight Price Tracking Service,,,2007.0,$24.3M,24270000.0,USD,159 Jackson Street,98104,Seattle
160,52cdef7c4bab8bd675297de0,Yelp,search,Local search and review site,37.786183,-122.402195,2004.0,$90M,89969340.0,USD,706 Mission Street,94103,San Francisco
161,52cdef7c4bab8bd675297deb,SideStep,web,,37.374998,-121.977853,1999.0,$32M,32000000.0,USD,2980 Bowers Ave.,95051,Santa Clara
162,52cdef7c4bab8bd675297ded,Farecast,search,Airfare Prediction Service,47.620982,-122.359397,2003.0,$20.6M,20600000.0,USD,"200 West Thomas Street, Suite 300",98119,Seattle
163,52cdef7c4bab8bd675297dec,coRank,web,,37.36965,-122.02421,2007.0,$0,0.0,,,94086,Sunnyvale
164,52cdef7c4bab8bd675297df1,ConVerdge,enterprise,,34.0126379,-118.495155,2006.0,$0,0.0,0,,90401,Santa Monica
165,52cdef7c4bab8bd675297dee,Dailymotion,news,Video sharing service,,,2005.0,$68.5M,68500000.0,USD,,,Paris
166,52cdef7c4bab8bd675297dee,Dailymotion,news,Video sharing service,,,2005.0,$68.5M,68500000.0,USD,,,
167,52cdef7c4bab8bd675297dee,Dailymotion,news,Video sharing service,,,2005.0,$68.5M,68500000.0,USD,,,London
168,52cdef7c4bab8bd675297dee,Dailymotion,news,Video sharing service,,,2005.0,$68.5M,68500000.0,USD,,,
169,52cdef7c4bab8bd675297def,KickApps,enterprise,Social media applications and widgets,40.7516611,-73.9843328,2004.0,$32M,32000000.0,USD,26 W 17th Street,10011,New York
170,52cdef7c4bab8bd675297def,KickApps,enterprise,Social media applications and widgets,33.991101,-118.468707,2004.0,$32M,32000000.0,USD,1212 Abbott Kinney Blvd,90291,Venice
171,52cdef7c4bab8bd675297def,KickApps,enterprise,Social media applications and widgets,37.7891086,-122.4016144,2004.0,$32M,32000000.0,USD,607 Market St,94105,San Francisco
172,52cdef7c4bab8bd675297def,KickApps,enterprise,Social media applications and widgets,51.5094731,-0.1356235,2004.0,$32M,32000000.0,USD,212 Picadilly,W1J 9HF,London
173,52cdef7c4bab8bd675297df2,Pageflakes,web,AJAX Homepage Service,37.758113,-122.414689,2006.0,$4.1M,4100000.0,USD,795 Folsom St,94114,San Francisco
174,52cdef7c4bab8bd675297df0,RockYou,games_video,Social Gaming Company,37.484619,-122.206893,2005.0,$136M,136465336.0,USD,585 Broadway,94063,Redwood City
175,52cdef7c4bab8bd675297df3,Instructables,web,,37.7791761,-122.4058887,2005.0,$0,0.0,0,489 Clementina St.,94103,San Francisco
176,52cdef7c4bab8bd675297df4,Netvibes,web,Dashboard Everything,48.870806,2.34668,2005.0,$16M,16000000.0,USD,"114, rue Cardinet",75017,Paris
177,52cdef7c4bab8bd675297df4,Netvibes,web,Dashboard Everything,,,2005.0,$16M,16000000.0,USD,49 Geary,94108,San Francisco
178,52cdef7c4bab8bd675297df9,BabyCenter,web,,37.778076,-122.397977,1997.0,$0,0.0,0,163 Freelon Street,94107,San Francisco
179,52cdef7c4bab8bd675297df8,Flickr,web,Photo sharing website,37.418531,-122.025485,2004.0,$0,0.0,USD,701 1st ave.,94089,Sunnyvale
180,52cdef7c4bab8bd675297dfd,CrowdVine,web,Conference Social Networks,37.90077,-122.511687,2007.0,$0,0.0,0,53 S Knoll Rd,94941-2464,Mill Valley
181,52cdef7c4bab8bd675297df7,Bebo,web,Social Network,37.782103,-122.401116,2005.0,$15M,15000000.0,USD,425 Bush Street,94108,San Francisco
182,52cdef7c4bab8bd675297dfb,WeFi,mobile,Wifi Network Dicovery Tool,37.09024,-95.712891,2006.0,$10M,10000000.0,USD,12587 Fair Lakes Circle,22033,Fairfax
183,52cdef7c4bab8bd675297dfe,FeedBurner,web,,41.889474,-87.628912,2004.0,$8M,8000000.0,USD,20 W Kinzie,60610,Chicago
184,52cdef7c4bab8bd675297e00,TVtrip,web,Video guide for hotels,48.856667,2.350987,2007.0,$13.8M,13770000.0,USD,,,Paris
185,52cdef7c4bab8bd675297e01,Zazzle,ecommerce,,37.5108541,-122.2013557,1999.0,$46M,46000000.0,USD,1800 Seaport,94063,Redwood City
186,52cdef7c4bab8bd675297e02,Dogster,web,,37.762681,-122.400909,2004.0,$1M,1000000.0,USD,"555 De Haro Street, #350",,San Francisco
187,52cdef7c4bab8bd675297e05,CornerWorld,public_relations,Marketing and Technology Services,32.914662,-96.771281,2002.0,$0,0.0,0,12222 Merit Drive Suite 120,75251,Dallas
188,52cdef7c4bab8bd675297e07,WatZatSong,web,,48.866323,2.381514,2006.0,$0,0.0,0,"3, rue Crespin du Gast",75011,Paris
189,52cdef7c4bab8bd675297e03,PBworks,enterprise,Hosted Collaboration Provider,,,2005.0,$10.5M,10508252.0,USD,1825 S. Grant St.,94402,San Mateo
